Name,Category,Latitude,Longitude,Area,Distance to center
Okrepcevalnica Lev,Fast Food Restaurant,46.077174,14.48179,73,3426.2694810044068
PE Menza,Diner,46.075491782422716,14.484216712736846,73,3167.389555328648
Kunk,Café,46.077287,14.485489000000001,73,3288.896625487987
Pekarna mame Tonke,Bakery,46.07570164794752,14.483113288879395,73,3233.286536747752
Okrepcevalnica  Sončnica,Fast Food Restaurant,46.075984197143036,14.483134016279154,73,3258.6846942784614
Kavarna Mozaik,Café,46.07575960414072,14.480742651505851,73,3342.9001938502875
Restavracija Sintal,Restaurant,46.078166656167994,14.490593390050032,73,3207.095124852417
Celovška - Domača pekarna in slaščičarna,Bakery,46.07355572273382,14.486071903700106,73,2908.8073516358068
Snack Bar,Restaurant,46.0743000913398,14.485352350014315,73,3008.4837348454494
Slaščičarna amarena,Dessert Shop,46.07513808431368,14.484801443644185,73,3110.0305316266736
Smon Tenis,Bistro,46.075298,14.492272,73,2862.8118547033787
Balkan Gril,Middle Eastern Restaurant,46.075762,14.483015,73,3243.072373470496
123,Cafeteria,46.07325306354728,14.49832409409777,74,2501.540653196471
Restavracija Berni,Restaurant,46.074667,14.499532,74,2634.7612293052453
Na Poti Domov,Café,46.07686688125393,14.50606368184284,74,2829.871235084649
t-2 cafe,Café,46.07801934439351,14.500878573526967,74,2985.388217428062
Dnevna soba,Coffee Shop,46.07323117492917,14.498860338238325,74,2489.520917453823
Cafe Berni,Café,46.07429504394531,14.49960994720459,74,2593.0312218184517
Kapodol,Café,46.078079799317464,14.502526317482555,74,2977.5265177248793
Olimeja Restavracija,Restaurant,46.07336604351501,14.498437407912482,74,2511.6490269380984
Kodak Bar,Coffee Shop,46.078135320164726,14.502336645523613,74,2985.065483541037
Gregori Quick,Restaurant,46.077453255993824,14.50574802452531,74,2895.1724766788957
Bar Hermes Žak Ljubljana,Café,46.07035935947229,14.498776684292073,74,2181.345270491229
The Coffee,Café,46.07320950997198,14.50387565910794,74,2429.424922416045
Menza VO-KA,Restaurant,46.075791749893035,14.503950401194215,74,2715.4454300611983
Kucha,Vegetarian / Vegan Restaurant,46.075741,14.508482999999998,75,2711.024312188428
Caffe Fontana,Café,46.07452563108176,14.51055561272483,75,2592.699562530121
Kavarna Tiskarna,Burger Joint,46.075300435990684,14.510770121580546,75,2680.268445876573
Favola,Italian Restaurant,46.07818428875758,14.51214185333081,75,3012.8413056374397
Vija Vaja,Fast Food Restaurant,46.071207980838786,14.510818282923536,75,2230.995374811865
Okrepčevalnica Maks,Restaurant,46.07441557257652,14.510328873961392,75,2578.288306065932
Kapital Cafe Bar,Café,46.074009000000004,14.515826,75,2622.5959939275344
Rizibizi,Restaurant,46.0770185,14.5166867,75,2962.3177549648826
Hotspot Cafe & Bistro,Burger Joint,46.074387,14.518076999999998,75,2717.2541138845504
